"Name","val_acc","test_acc","State","Notes","User","Tags","Created","Runtime","Sweep","GradC","act_B","act_F","architecture","batchsize","bias_init","bn_affine","bw_bn","dataset","epochs","eta_min","filter_target","fw_bn","grad_clip_B","grad_clip_F","loss_scale_C","lr_B","lr_F","method","mmt_B","mmt_F","mode","num_chn","optimizer","seed","wd_B","wd_F","yaml","val_loss","best_epoch","test_loss"
"MNIST_classification_CCL","0.9696666666666668","0.9722","finished","-","","","2024-05-05T05:00:01.000Z","997","","0","elu","elu","simple_linear","256","zero","1","0","MNIST","100","0.001","0","0","1","1","0.5","0.5","0.5","CCL","0","0","train","1","SGD","3","0.0001","0.0001","./yaml/mlp/mnist_ccl.yaml","0.10992324954271317","99","0.09030004516243936"
"FashionMNIST_classification_CCL","0.8761666666666666","0.8681","finished","-","","","2024-05-05T05:08:34.000Z","1107","","0","elu","elu","simple_linear","256","zero","1","0","FashionMNIST","100","0.001","0","0","0.5","0.5","0.5","2","2","CCL","0","0","train","1","SGD","3","0.0001","0.0001","./yaml/mlp/fmnist_ccl.yaml","0.3596245396534602","71","0.37972649102211"
"CIFAR100_classification_CCL","0.2108","0.2123","finished","-","","","2024-05-06T00:42:05.000Z","1868","","0","elu","elu","simple_linear","256","zero","1","0","CIFAR100","100","0.001","0","0","0.3","0.3","1","2","2","CCL","0","0","train","3","SGD","4","0","0","./yaml/mlp/cifar100_ccl.yaml","3.4934616119384767","98","3.493416295623779"
"FashionMNIST_classification_CCL","0.8806666666666667","0.8703","finished","-","","","2024-05-05T02:32:42.000Z","1131","","0","elu","elu","simple_linear","256","zero","1","0","FashionMNIST","100","0.001","0","0","0.5","0.5","0.5","2","2","CCL","0","0","train","1","SGD","2","0.0001","0.0001","./yaml/mlp/fmnist_ccl.yaml","0.3500453506310781","76","0.37906232242584226"
"CIFAR100_classification_CCL","0.2016","0.187","finished","-","","","2024-05-05T01:40:31.000Z","951","","0","elu","elu","simple_linear","256","zero","1","0","CIFAR100","100","0.001","0","0","0.5","0.5","0.5","1.5","1.5","CCL","0","0","train","3","SGD","3","0","0","./yaml/mlp/cifar100_ccl.yaml","3.5401439544677733","97","3.607588101196289"
"MNIST_classification_CCL","0.9693333333333334","0.9748","finished","-","","","2024-05-05T00:44:40.000Z","1090","","0","elu","elu","simple_linear","256","zero","1","0","MNIST","100","0.001","0","0","1","1","0.5","1","1","CCL","0","0","train","1","SGD","1","0.0001","0.0001","./yaml/mlp/mnist_ccl.yaml","0.10071340541541576","95","0.08417915504574776"
"FashionMNIST_classification_CCL","0.8856666666666667","0.8721","finished","-","","","2024-05-06T01:55:02.000Z","1544","","0","elu","elu","simple_linear","256","zero","1","0","FashionMNIST","100","0.001","0","0","1","1","0.5","0.5","0.5","CCL","0","0","train","1","SGD","5","0.0001","0.0001","./yaml/mlp/fmnist_ccl.yaml","0.3343933355808258","98","0.3720594057559967"
"CIFAR100_classification_CCL","0.214","0.207","finished","-","","","2024-05-06T04:12:06.000Z","1863","","0","elu","elu","simple_linear","256","zero","1","0","CIFAR100","100","0.001","0","0","0.5","0.5","1","2","2","CCL","0","0","train","3","SGD","5","0","0","./yaml/mlp/cifar100_ccl.yaml","3.4611345600128174","97","3.4773750396728516"
"CIFAR100_classification_CCL","0.0522","0.1574","finished","-","","","2024-05-05T02:41:28.000Z","877","","0","elu","elu","simple_linear","256","zero","1","0","CIFAR100","100","0.001","0","0","0.5","0.5","0.5","1","1","CCL","0","0","train","3","SGD","4","0.0001","0.0001","./yaml/mlp/cifar100_ccl.yaml","4.388348112487793","8","3.7635923416137698"
"CIFAR10_classification_CCL","0.4932","0.4938","finished","-","","","2024-05-04T23:11:07.000Z","1123","","0","elu","elu","simple_linear","256","zero","1","0","CIFAR10","100","0.001","0","0","0.5","0.5","0.5","0.2","0.2","CCL","0","0","train","3","SGD","1","0","0","./yaml/mlp/cifar10_ccl.yaml","1.4572217082977297","97","1.4519104541778565"
"CIFAR100_classification_CCL","0.0428","0.1561","finished","-","","","2024-05-05T00:52:14.000Z","962","","0","elu","elu","simple_linear","256","zero","1","0","CIFAR100","100","0.001","0","0","0.5","0.5","0.5","1.5","1.5","CCL","0","0","train","3","SGD","2","0.0001","0.0001","./yaml/mlp/cifar100_ccl.yaml","4.521622277069092","5","3.7759518402099608"
"CIFAR10_classification_CCL","0.5272","0.5228","finished","-","","","2024-05-06T01:36:14.000Z","1114","","0","elu","elu","simple_linear","256","zero","1","0","CIFAR10","100","0.001","0","0","0.5","0.5","0.5","1","1","CCL","0","0","train","3","SGD","7","0","0","./yaml/mlp/cifar10_ccl.yaml","1.4117751403808594","72","1.4023888137817382"
"MNIST_classification_CCL","0.968","0.9739","finished","-","","","2024-05-05T05:38:54.000Z","1131","","0","elu","elu","simple_linear","256","zero","1","0","MNIST","100","0.001","0","0","1","1","0.5","1","1","CCL","0","0","train","1","SGD","3","0.0001","0.0001","./yaml/mlp/mnist_ccl.yaml","0.10851189158360164","99","0.08550823189616204"
"FashionMNIST_classification_CCL","0.8738333333333334","0.8713","finished","-","","","2024-05-05T00:54:38.000Z","954","","0","elu","elu","simple_linear","256","zero","1","0","FashionMNIST","100","0.001","0","0","1","1","0.5","0.5","0.5","CCL","0","0","train","1","SGD","1","0.0001","0.0001","./yaml/mlp/fmnist_ccl.yaml","0.357959832350413","96","0.3699511619091034"
