"Name","test_loss","val_loss","seed","use_noise","State","Notes","User","Tags","Created","Runtime","Sweep","GradC","act_B","act_F","architecture","batchsize","bias_init","bn_affine","bw_bn","dataset","device","epochs","eta_min","filter_target","fw_bn","grad_clip_B","grad_clip_F","lr_B","lr_F","method","mmt_B","mmt_F","mode","num_chn","optimizer","task","task_transform","tmax","warmup","wd_B","wd_F","yaml","loss_scale_C","loss_scale_D"
"STL10_BP_same","0.005704174092039466","0.006119401194155216","4","","finished","-","","","2024-05-05T15:42:34.000Z","1166","","1","relu","relu","cnn_pool_autoencoder","32","zero","1","2","STL10","cuda","50","0.001","0","2","0.3","0.3","0.03","0.03","BP","0","0.5","train","3","SGD","autoencoder","same","50","200","0","0.00001","./yaml/cnn_ae/stl10_bp_legacy.yaml","1","1"
"STL10_BP_same","0.0064602889101952315","0.006121173035353422","4","","finished","-","","","2024-05-05T18:40:37.000Z","1143","","1","relu","relu","cnn_pool_autoencoder","32","zero","1","2","STL10","cuda","50","0.001","0","2","1","1","0.01","0.01","BP","0","0.5","train","3","SGD","autoencoder","same","50","200","0","0.00001","./yaml/cnn_ae/stl10_bp_legacy.yaml","1","1"
"STL10_BP_same_noise","0.005867934396490455","0.006130799651145935","2","1","finished","-","","","2024-05-05T15:09:34.000Z","590","","1","relu","relu","cnn_pool_autoencoder","32","zero","1","2","STL10","cuda","50","0.001","0","2","0.1","0.1","0.03","0.03","BP","0","0.5","train","3","SGD","autoencoder","same","50","200","0","0.00001","./yaml/cnn_ae/stl10_bp_legacy.yaml","1","1"
"STL10_BP_same_noise","0.005802822949364781","0.00613780040293932","2","1","finished","-","","","2024-05-05T15:51:01.000Z","591","","1","relu","relu","cnn_pool_autoencoder","32","zero","1","2","STL10","cuda","50","0.001","0","2","0.3","0.3","0.01","0.01","BP","0","0.5","train","3","SGD","autoencoder","same","50","200","0","0.00001","./yaml/cnn_ae/stl10_bp_legacy.yaml","1","1"
"STL10_BP_same","0.006062081219628453","0.006179253105074167","3","","finished","-","","","2024-05-05T18:08:17.000Z","1159","","1","relu","relu","cnn_pool_autoencoder","32","zero","1","2","STL10","cuda","50","0.001","0","2","0.3","0.3","0.01","0.01","BP","0","0.5","train","3","SGD","autoencoder","same","50","200","0","0.00001","./yaml/cnn_ae/stl10_bp_legacy.yaml","1","1"
"STL10_BP_same","0.006323797021061182","0.006191314198076725","1","","finished","-","","","2024-05-05T04:38:20.000Z","553","","1","relu","relu","cnn_pool_autoencoder","32","zero","1","2","STL10","cuda","50","0.001","0","2","1","1","0.03","0.03","BP","0","0.5","train","3","SGD","autoencoder","same","50","200","0","0.00001","./yaml/cnn_ae/stl10_bp_legacy.yaml","1","1"
"STL10_BP_same","0.005920927554368973","0.006197551731020212","5","","finished","-","","","2024-05-05T15:02:47.000Z","712","","1","relu","relu","cnn_pool_autoencoder","32","zero","1","2","STL10","cuda","50","0.001","0","2","0.1","0.1","0.03","0.03","BP","0","0.5","train","3","SGD","autoencoder","same","50","200","0","0.00001","./yaml/cnn_ae/stl10_bp_legacy.yaml","1","1"
"STL10_BP_same","0.005956623032689095","0.006217065267264843","2","","finished","-","","","2024-05-05T05:35:42.000Z","545","","1","relu","relu","cnn_pool_autoencoder","32","zero","1","2","STL10","cuda","50","0.001","0","2","1","1","0.03","0.03","BP","0","0.5","train","3","SGD","autoencoder","same","50","200","0","0.00001","./yaml/cnn_ae/stl10_bp_legacy.yaml","1","1"
"STL10_BP_same","0.005942968506366014","0.006239264737814665","1","","finished","-","","","2024-05-05T04:49:52.000Z","719","","1","relu","relu","cnn_pool_autoencoder","32","zero","1","2","STL10","cuda","50","0.001","0","2","1","1","0.003","0.003","BP","0","0.5","train","3","SGD","autoencoder","same","50","200","0","0.00001","./yaml/cnn_ae/stl10_bp_legacy.yaml","1","1"
"STL10_BP_same","0.00643278850056231","0.006240609101951122","3","","finished","-","","","2024-05-05T20:47:47.000Z","1158","","1","relu","relu","cnn_pool_autoencoder","32","zero","1","2","STL10","cuda","50","0.001","0","2","1","1","0.003","0.003","BP","0","0.5","train","3","SGD","autoencoder","same","50","200","0","0.00001","./yaml/cnn_ae/stl10_bp_legacy.yaml","1","1"
