"Name","5_epoch_time2","5_epoch_time","State","Notes","User","Tags","Created","Runtime","Sweep","activation_function","agent","algorithm","backward_function_1","backward_function_1_activation","backward_function_1_init","backward_function_2","backward_function_2_activation","backward_function_2_init","batch_size","dataset","depth","direct_depth","epochs","epochs_backward","forward_function_1","forward_function_1_activation","forward_function_1_init","forward_function_2","forward_function_2_activation","forward_function_2_init","forward_last_activation","hid_dim","in_dim","label_augmentation","learning_rate","learning_rate_backward","log","loss_feedback","out_dim","seed","sparse_ratio","std_backward","stepsize","test","last_activation","GradC","act_B","act_F","architecture","batchsize","bias_init","bn_affine","bw_bn","eta_min","filter_target","fw_bn","grad_clip_B","grad_clip_F","loss_scale_C","lr_B","lr_F","method","mmt_B","mmt_F","mode","num_chn","optimizer","task","task_transform","tmax","warmup","wd_B","wd_F","yaml","train accuracy","train loss","valid accuracy","valid loss","eigenvalue ratio 1","eigenvalue ratio 2","eigenvalue ratio 3","eigenvalue ratio 4","eigenvalue ratio 5","eigenvalue trace 1","eigenvalue trace 2","eigenvalue trace 3","eigenvalue trace 4","eigenvalue trace 5","val_acc","val_loss"
"CIFAR10_DTP_linear_L-DRL","","37.26418876647949","finished","-","","","2024-05-04T01:32:57.000Z","57","","","false","DTP","parameterized","tanh","uniform","difference","linear","","256","CIFAR10","4","1","5","5","identity","linear","","parameterized","tanh","orthogonal","linear","1024","3072","false","0.2","0.0004","true","L-DRL","10","1","-1","0.01","0.04","true","linear","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MNIST_DTP_linear_DTP","","84.10269117355347","finished","-","","","2024-05-04T01:33:04.000Z","106","","","false","DTP","parameterized","tanh","uniform","difference","linear","","256","MNIST","6","1","5","5","identity","linear","","parameterized","tanh","orthogonal","linear","256","784","false","4","0.002","true","DTP","10","4","-1","0.01","0.04","true","linear","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MNIST_BP","","8.364843845367432","finished","-","","","2024-05-04T01:34:05.000Z","26","","tanh","false","BP","identity","tanh","uniform","identity","linear","orthogonal","256","MNIST","6","1","5","5","identity","linear","orthogonal","identity","tanh","orthogonal","linear","256","784","false","0.1","0.001","true","DTP","10","5","-1","0.01","0.04","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.98275","0.061406128108501434","0.9718","0.0900483950972557","","","","","","","","","","","",""
"CIFAR10_BP","","10.535539388656616","finished","-","","","2024-05-04T01:34:11.000Z","40","","tanh","false","BP","identity","tanh","uniform","identity","linear","orthogonal","256","CIFAR10","4","1","5","5","identity","linear","orthogonal","identity","tanh","orthogonal","linear","1024","3072","false","0.001","0.001","true","DTP","10","2","-1","0.01","0.01","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.37152","1.814624905586243","0.3753","1.8178647756576536","","","","","","","","","","","",""
"MNIST_DTP_linear_L-DRL","","104.51027512550354","finished","-","","","2024-05-04T01:34:17.000Z","126","","","false","DTP","parameterized","tanh","uniform","difference","linear","","256","MNIST","6","1","5","5","identity","linear","","parameterized","tanh","orthogonal","linear","256","784","false","4","0.0002","true","L-DRL","10","3","-1","0.01","0.04","true","linear","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MNIST_FWDTP-BN_linear-BN","","28.20007705688477","finished","-","","","2024-05-04T01:34:37.000Z","45","","","false","FWDTP-BN","random","tanh-BN","uniform","difference","linear-BN","","256","MNIST","6","1","5","5","identity","linear","","parameterized","tanh-BN","orthogonal","linear-BN","256","784","false","0.1","0.001","true","DTP","10","5","-1","0.01","0.04","true","linear-BN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CIFAR10_FWDTP-BN_linear-BN","","33.99140787124634","finished","-","","","2024-05-04T01:35:01.000Z","63","","","false","FWDTP-BN","random","tanh-BN","uniform","difference","linear-BN","","256","CIFAR10","4","1","5","5","identity","linear","","parameterized","tanh-BN","orthogonal","linear-BN","1024","3072","false","0.02","0.001","true","DTP","10","2","-1","0.01","0.01","true","linear-BN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MNIST_DTP_linear_DRL","","173.36516761779785","finished","-","","","2024-05-04T01:35:05.000Z","198","","","false","DTP","parameterized","tanh","uniform","difference","linear","","256","MNIST","6","1","5","5","identity","linear","","parameterized","tanh","orthogonal","linear","256","784","false","4","0.0002","true","DRL","10","4","-1","0.01","0.04","true","linear","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MNIST_DTP_linear_DTP","","48.40949606895447","finished","-","","","2024-05-04T01:35:32.000Z","67","","","false","DTP","parameterized","tanh","uniform","difference","linear","","256","MNIST","6","1","5","5","identity","linear","","parameterized","tanh","orthogonal","linear","256","784","false","4","0.002","true","DTP","10","5","-1","0.01","0.04","true","linear","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CIFAR10_DTP_linear_DTP","","43.473448276519775","finished","-","","","2024-05-04T01:36:14.000Z","73","","","false","DTP","parameterized","tanh","uniform","difference","linear","","256","CIFAR10","4","1","5","5","identity","linear","","parameterized","tanh","orthogonal","linear","1024","3072","false","4","0.004","true","DTP","10","2","-1","0.01","0.002","true","linear","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
