"Name","val_acc","test_acc","State","Updated","End Time","Created","GradC","act_B","act_F","architecture","bn_affine","dataset","epochs","fw_bn","grad_clip_F","lr_F","method","mmt_F","wd_F","loss_scale_C","seed","bw_bn","filter_target","grad_clip_B","lr_B","mmt_B","wd_B","yaml","test_loss","val_loss"
"CIFAR10_CCL_none","0.8144","0.8202","finished","2024-05-03T05:48:43.000Z","2024-05-03T05:48:43.000Z","2024-05-03T04:51:20.000Z","1","elu","elu","cnn_pool","1","CIFAR10","100","0","0.1","1","CCL","0.5","0.000001","1","1","0","0.2","0.1","1","0.5","0.000001","./yaml/cnn/cifar10_ccl.yaml","0.5447097635269165","0.5840449330806732"
"CIFAR10_CCL_none","0.8142","0.8248","finished","2024-05-03T07:33:34.000Z","2024-05-03T07:33:34.000Z","2024-05-03T05:56:58.000Z","1","elu","elu","cnn_pool","1","CIFAR10","100","0","0.1","1.2","CCL","0.2","0.000001","1","1","0","0.2","0.1","1.2","0.2","0.000001","./yaml/cnn/cifar10_ccl.yaml","0.5397701201915741","0.5799730892658234"
"CIFAR10_CCL_none","0.8134","0.8282","finished","2024-05-03T20:08:54.000Z","2024-05-03T20:08:54.000Z","2024-05-03T18:58:34.000Z","1","elu","elu","cnn_pool","1","CIFAR10","100","0","0.3","1.5","CCL","0.2","0.000001","1","0","0","0.2","0.3","1.5","0.2","0.000001","./yaml/cnn/cifar10_ccl.yaml","0.5394947614669799","0.6054956107616425"
"CIFAR10_CCL_none","0.8128","0.8307","finished","2024-05-03T08:02:27.000Z","2024-05-03T08:02:27.000Z","2024-05-03T06:53:35.000Z","1","elu","elu","cnn_pool","1","CIFAR10","100","0","0.1","1","CCL","0.8","0.000001","1","0","0","0.2","0.1","1","0.8","0.000001","./yaml/cnn/cifar10_ccl.yaml","0.5400371398925782","0.5831373189926148"
"CIFAR10_CCL_none","0.8128","0.8248","finished","2024-05-03T10:24:50.000Z","2024-05-03T10:24:50.000Z","2024-05-03T09:15:36.000Z","1","elu","elu","cnn_pool","1","CIFAR10","100","0","0.1","1.5","CCL","0.5","0.000001","1","0","0","0.2","0.1","1.5","0.5","0.000001","./yaml/cnn/cifar10_ccl.yaml","0.5419575162410736","0.6078061700820923"
"CIFAR10_CCL_none","0.8126","0.8209","finished","2024-05-03T06:41:08.000Z","2024-05-03T06:41:08.000Z","2024-05-03T05:32:13.000Z","1","elu","elu","cnn_pool","1","CIFAR10","100","0","0.1","1.2","CCL","0.5","0.000001","1","0","0","0.2","0.1","1.2","0.5","0.000001","./yaml/cnn/cifar10_ccl.yaml","0.549167195892334","0.5761546437263488"
"CIFAR10_CCL_none","0.8124","0.8216","finished","2024-05-03T13:59:56.000Z","2024-05-03T13:59:56.000Z","2024-05-03T12:24:28.000Z","1","elu","elu","cnn_pool","1","CIFAR10","100","0","0.3","0.5","CCL","0.5","0.000001","1","1","0","0.2","0.3","0.5","0.5","0.000001","./yaml/cnn/cifar10_ccl.yaml","0.5387352332115173","0.5711145838975906"
"CIFAR10_CCL_none","0.8122","0.8274","finished","2024-05-03T09:03:03.000Z","2024-05-03T09:03:03.000Z","2024-05-03T07:57:48.000Z","1","elu","elu","cnn_pool","1","CIFAR10","100","0","0.1","1.5","CCL","0.5","0.000001","1","1","0","0.2","0.1","1.5","0.5","0.000001","./yaml/cnn/cifar10_ccl.yaml","0.5357371580123902","0.5913706775665283"
"CIFAR10_CCL_none","0.8118","0.8251","finished","2024-05-03T17:12:48.000Z","2024-05-03T17:12:48.000Z","2024-05-03T15:36:34.000Z","1","elu","elu","cnn_pool","1","CIFAR10","100","0","0.3","1.2","CCL","0.2","0.000001","1","1","0","0.2","0.3","1.2","0.2","0.000001","./yaml/cnn/cifar10_ccl.yaml","0.5407859597444534","0.5749539415359497"
"CIFAR10_CCL_none","0.8116","0.8278","finished","2024-05-03T18:15:02.000Z","2024-05-03T18:15:02.000Z","2024-05-03T17:05:06.000Z","1","elu","elu","cnn_pool","1","CIFAR10","100","0","1","0.5","CCL","0.8","0.000001","1","0","0","0.2","1","0.5","0.8","0.000001","./yaml/cnn/cifar10_ccl.yaml","0.5524169636368752","0.58853202252388"
"CIFAR10_CCL_none","0.8112","0.8283","finished","2024-05-03T11:16:36.000Z","2024-05-03T11:16:36.000Z","2024-05-03T10:07:48.000Z","1","elu","elu","cnn_pool","1","CIFAR10","100","0","0.3","0.5","CCL","0.8","0.000001","1","0","0","0.2","0.3","0.5","0.8","0.000001","./yaml/cnn/cifar10_ccl.yaml","0.5455198562145234","0.5937035668373107"
"CIFAR10_CCL_none","0.811","0.8219","finished","2024-05-03T10:33:42.000Z","2024-05-03T10:33:42.000Z","2024-05-03T09:31:19.000Z","1","elu","elu","cnn_pool","1","CIFAR10","100","0","0.3","0.5","CCL","0.8","0.000001","1","1","0","0.2","0.3","0.5","0.8","0.000001","./yaml/cnn/cifar10_ccl.yaml","0.5477395972728729","0.5969000264644623"
"CIFAR10_CCL_none","0.8102","0.8234","finished","2024-05-03T08:01:04.000Z","2024-05-03T08:01:04.000Z","2024-05-03T07:13:56.000Z","1","elu","elu","cnn_pool","1","CIFAR10","100","0","0.1","1.5","CCL","0.8","0.000001","1","1","0","0.2","0.1","1.5","0.8","0.000001","./yaml/cnn/cifar10_ccl.yaml","0.5407807229995728","0.5905239191055298"
