"Name","val_acc","test_acc","State","Updated","End Time","Created","GradC","act_B","act_F","architecture","bn_affine","dataset","epochs","fw_bn","grad_clip_F","lr_F","method","mmt_F","wd_F","loss_scale_C","seed","bw_bn","filter_target","grad_clip_B","lr_B","mmt_B","wd_B","yaml","test_loss","val_loss"
"CIFAR10_BP_none","0.8772","0.8647","finished","2024-05-03T14:27:27.000Z","2024-05-03T14:27:27.000Z","2024-05-03T13:54:20.000Z","1","elu","elu","cnn_pool","0","CIFAR10","100","1","3","0.05","BP","0.5","0.00001","0.5","0","0","0","3","0.05","0.5","0","./yaml/cnn/cifar10_bp_pool.yaml","0.4920263090133667","0.5444818716049195"
"CIFAR10_BP_none","0.8772","0.8573","finished","2024-05-03T16:15:03.000Z","2024-05-03T16:15:03.000Z","2024-05-03T15:22:30.000Z","1","elu","elu","cnn_pool","0","CIFAR10","100","1","3","0.01","BP","0.9","0.00001","0.5","0","0","0","3","0.01","0.9","0","./yaml/cnn/cifar10_bp_pool.yaml","0.4744355769634247","0.5261440724372863"
"CIFAR10_BP_none","0.877","0.8804","finished","2024-05-03T07:36:26.000Z","2024-05-03T07:36:26.000Z","2024-05-03T07:03:59.000Z","1","elu","elu","cnn_pool","0","CIFAR10","100","1","0","0.05","BP","0.5","0.00001","0.5","1","0","0","0","0.05","0.5","0","./yaml/cnn/cifar10_bp_pool.yaml","0.506377857875824","0.5177130856990814"
"CIFAR10_BP_none","0.8768","0.8431","finished","2024-05-03T15:42:33.000Z","2024-05-03T15:42:33.000Z","2024-05-03T14:54:08.000Z","1","elu","elu","cnn_pool","0","CIFAR10","100","0","3","0.01","BP","0.9","0.00001","0.5","1","0","0","3","0.01","0.9","0","./yaml/cnn/cifar10_bp_pool.yaml","0.5279025062561035","0.7691071908950806"
"CIFAR10_BP_none","0.8768","0.879","finished","2024-05-05T10:58:59.000Z","2024-05-05T10:58:59.000Z","2024-05-05T10:26:35.000Z","1","elu","elu","cnn_pool","0","CIFAR10","100","1","3","0.05","BP","0.9","0.00001","0.5","4","0","0","3","0.05","0.9","0","./yaml/cnn/cifar10_bp_pool.yaml","0.5790083005428314","0.6263110072016717"
"CIFAR10_BP_none","0.8768","0.8362","finished","2024-05-03T11:40:44.000Z","2024-05-03T11:40:44.000Z","2024-05-03T11:06:01.000Z","1","elu","elu","cnn_pool","0","CIFAR10","100","1","1","0.05","BP","0.9","0.00001","0.5","0","0","0","1","0.05","0.9","0","./yaml/cnn/cifar10_bp_pool.yaml","0.548287445306778","0.7127866543769836"
"CIFAR10_BP_none","0.8766","0.8594","finished","2024-05-03T09:25:17.000Z","2024-05-03T09:25:17.000Z","2024-05-03T08:50:36.000Z","1","elu","elu","cnn_pool","0","CIFAR10","100","1","1","0.01","BP","0.9","0.00001","0.5","1","0","0","1","0.01","0.9","0","./yaml/cnn/cifar10_bp_pool.yaml","0.4514916969299316","0.5543699118971824"
"CIFAR10_BP_none","0.8766","0.8664","finished","2024-05-03T05:58:27.000Z","2024-05-03T05:58:27.000Z","2024-05-03T05:26:30.000Z","1","elu","elu","cnn_pool","0","CIFAR10","100","1","0","0.01","BP","0.9","0.00001","0.5","1","0","0","0","0.01","0.9","0","./yaml/cnn/cifar10_bp_pool.yaml","0.49357595438957214","0.518630725479126"
"CIFAR10_BP_none","0.8764","0.8245","finished","2024-05-03T11:44:27.000Z","2024-05-03T11:44:27.000Z","2024-05-03T11:10:09.000Z","1","elu","elu","cnn_pool","0","CIFAR10","100","1","1","0.05","BP","0.9","0.00001","0.5","1","0","0","1","0.05","0.9","0","./yaml/cnn/cifar10_bp_pool.yaml","0.6381023092508316","0.7888157897144557"
"CIFAR10_BP_none","0.8762","0.8526","finished","2024-05-03T06:00:26.000Z","2024-05-03T06:00:26.000Z","2024-05-03T05:26:41.000Z","1","elu","elu","cnn_pool","0","CIFAR10","100","1","0","0.01","BP","0.9","0.00001","0.5","0","0","0","0","0.01","0.9","0","./yaml/cnn/cifar10_bp_pool.yaml","0.5032812803030015","0.5839671439647675"
