"Name","dataset","algorithm","loss_feedback","test accuracy","Runtime","State","learning_rate","learning_rate_backward","train accuracy","seed","activation_function","epochs_backward","stepsize"
"CIFAR10_FWDTP_linear","CIFAR10","FWDTP","DTP","0.3586","14757","finished","0.02","0.001","0.35608","5","","5","0.01"
"CIFAR10_FWDTP_linear","CIFAR10","FWDTP","DTP","0.3581","10825","finished","0.02","0.001","0.35664","3","","5","0.01"
"CIFAR10_FWDTP_linear","CIFAR10","FWDTP","DTP","0.358","20605","finished","0.02","0.001","0.35686","2","","5","0.01"
"CIFAR10_FWDTP_linear","CIFAR10","FWDTP","DTP","0.3563","20234","finished","0.02","0.001","0.35318","4","","5","0.01"
"CIFAR100_BP","CIFAR100","BP","DTP","0.2462","207","finished","0.005","0.001","0.37224","1","tanh","5","0.01"
"CIFAR100_BP","CIFAR100","BP","DTP","0.2453","204","finished","0.01","0.001","0.52854","4","tanh","5","0.01"
"CIFAR100_BP","CIFAR100","BP","DTP","0.24","198","finished","0.01","0.001","0.52554","4","tanh","5","0.01"
"CIFAR100_BP","CIFAR100","BP","DTP","0.24","238","finished","0.004","0.001","0.34256","2","tanh","5","0.01"
"CIFAR100_BP","CIFAR100","BP","DTP","0.2375","149","finished","0.01","0.001","0.51626","5","tanh","5","0.01"
"CIFAR100_BP","CIFAR100","BP","DTP","0.2372","226","finished","0.004","0.001","0.34252","3","tanh","5","0.01"
"CIFAR100_BP","CIFAR100","BP","DTP","0.2361","151","finished","0.004","0.001","0.34102","5","tanh","5","0.01"
"CIFAR100_BP","CIFAR100","BP","DTP","0.2354","225","finished","0.01","0.001","0.50444","2","tanh","5","0.01"
"CIFAR100_BP","CIFAR100","BP","DTP","0.2351","203","finished","0.003","0.001","0.30864","1","tanh","5","0.01"
"CIFAR100_BP","CIFAR100","BP","DTP","0.2348","210","finished","0.004","0.001","0.33832","4","tanh","5","0.01"
"CIFAR100_FWDTP-BN_linear-BN","CIFAR100","FWDTP-BN","DTP","0.2335","13849","finished","0.2","0.001","0.72378","5","","5","0.01"
"CIFAR100_DTP_linear_DTP","CIFAR100","DTP","DTP","0.231","11779","finished","1","0.008","0.56634","5","","5","0.01"
