"Name","5_epoch_time2","5_epoch_time","State","Notes","User","Tags","Created","Runtime","Sweep","activation_function","agent","algorithm","backward_function_1","backward_function_1_activation","backward_function_1_init","backward_function_2","backward_function_2_activation","backward_function_2_init","batch_size","dataset","depth","direct_depth","epochs","epochs_backward","forward_function_1","forward_function_1_activation","forward_function_1_init","forward_function_2","forward_function_2_activation","forward_function_2_init","forward_last_activation","hid_dim","in_dim","label_augmentation","learning_rate","learning_rate_backward","log","loss_feedback","out_dim","seed","sparse_ratio","std_backward","stepsize","test","last_activation","GradC","act_B","act_F","architecture","batchsize","bias_init","bn_affine","bw_bn","eta_min","filter_target","fw_bn","grad_clip_B","grad_clip_F","loss_scale_C","lr_B","lr_F","method","mmt_B","mmt_F","mode","num_chn","optimizer","task","task_transform","tmax","warmup","wd_B","wd_F","yaml","train accuracy","train loss","valid accuracy","valid loss","eigenvalue ratio 1","eigenvalue ratio 2","eigenvalue ratio 3","eigenvalue ratio 4","eigenvalue ratio 5","eigenvalue trace 1","eigenvalue trace 2","eigenvalue trace 3","eigenvalue trace 4","eigenvalue trace 5","val_acc","val_loss"
"CIFAR100_classification_BP","96.78349184989928","","finished","-","","","2024-05-04T03:35:09.000Z","123","","","","","","","","","","","","CIFAR100","","","5","","","","","","","","","","","","","","","","","5","","","","","","0","tanh","tanh","simple_linear","256","none","1","2","0.001","0","0","0","0","0.5","0.2","0.05","BP","0","0","train","3","SGD","classification","none","0","0","0","0","./yaml/linear_cifar100_bp.yaml","","","","","","","","","","","","","","","",""
"MNIST_BP","","9.036012887954712","finished","-","","","2024-05-04T06:58:15.000Z","41","","tanh","false","BP","identity","tanh","uniform","identity","linear","orthogonal","256","MNIST","6","1","5","5","identity","linear","orthogonal","identity","tanh","orthogonal","linear","256","784","false","0.1","0.001","true","DTP","10","8","-1","0.01","0.04","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.9714833333333334","0.09163852781057358","0.9615","0.12349922955036163","","","","","","","","","","","",""
"CIFAR100_DTP_linear_DTP","","40.85868787765503","finished","-","","","2024-05-04T07:20:58.000Z","64","","","false","DTP","parameterized","tanh","uniform","difference","linear","","256","CIFAR100","4","1","5","5","identity","linear","","parameterized","tanh","orthogonal","linear","1024","3072","false","4","0.004","true","DTP","100","1","-1","0.01","0.002","true","linear","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CIFAR100_classification_CCL","90.46682238578796","","finished","-","","","2024-05-04T03:31:10.000Z","115","","","","","","","","","","","","CIFAR100","","","5","","","","","","","","","","","","","","","","","1","","","","","","0","elu","elu","simple_linear","256","zero","1","0","0.001","0","0","1","1","0.5","0.5","0.5","CCL","0","0","train","3","SGD","classification","none","0","100","0","0","./yaml/linear_cifar100_ccl.yaml","","","","","","","","","","","","","","","",""
"CIFAR10_classification_CCL","92.98351764678956","","finished","-","","","2024-05-04T03:29:16.000Z","130","","","","","","","","","","","","CIFAR10","","","5","","","","","","","","","","","","","","","","","9","","","","","","0","elu","elu","simple_linear","256","zero","1","0","0.001","0","0","1","1","0.5","0.5","0.5","CCL","0","0","train","3","SGD","classification","none","0","100","0","0","./yaml/linear_cifar10_ccl.yaml","","","","","","","","","","","","","","","",""
"CIFAR100_FWDTP-BN_linear-BN","","23.72332191467285","finished","-","","","2024-05-04T07:17:01.000Z","47","","","false","FWDTP-BN","random","tanh-BN","uniform","difference","linear-BN","","256","CIFAR100","4","1","5","5","identity","linear","","parameterized","tanh-BN","orthogonal","linear-BN","1024","3072","false","0.02","0.001","true","DTP","100","5","-1","0.01","0.01","true","linear-BN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CIFAR100_DTP_linear_L-DRL","","55.657102823257446","finished","-","","","2024-05-04T07:20:17.000Z","78","","","false","DTP","parameterized","tanh","uniform","difference","linear","","256","CIFAR100","4","1","5","5","identity","linear","","parameterized","tanh","orthogonal","linear","1024","3072","false","0.2","0.0004","true","L-DRL","100","4","-1","0.01","0.04","true","linear","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CIFAR100_classification_CCL","50.40327501296997","","finished","-","","","2024-05-04T03:28:20.000Z","73","","","","","","","","","","","","CIFAR100","","","5","","","","","","","","","","","","","","","","","6","","","","","","0","elu","elu","simple_linear","256","zero","1","0","0.001","0","0","1","1","0.5","0.5","0.5","CCL","0","0","train","3","SGD","classification","none","0","100","0","0","./yaml/linear_cifar100_ccl.yaml","","","","","","","","","","","","","","","",""
"CIFAR10_BP","","14.326675653457642","finished","-","","","2024-05-04T06:26:49.000Z","46","","tanh","false","BP","identity","tanh","uniform","identity","linear","orthogonal","256","CIFAR10","4","1","5","5","identity","linear","orthogonal","identity","tanh","orthogonal","linear","1024","3072","false","0.001","0.001","true","DTP","10","10","-1","0.01","0.01","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.36798","1.8152588605880735","0.3746","1.818977117538452","","","","","","","","","","","",""
"MNIST_DTP_linear_DRL","","126.78885436058044","finished","-","","","2024-05-04T07:06:05.000Z","148","","","false","DTP","parameterized","tanh","uniform","difference","linear","","256","MNIST","6","1","5","5","identity","linear","","parameterized","tanh","orthogonal","linear","256","784","false","4","0.0002","true","DRL","10","6","-1","0.01","0.04","true","linear","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
