"Name","dataset","method","test_acc","Created","State","Runtime","GradC","act_B","act_F","batchsize","bias_init","epochs","filter_target","grad_clip_B","grad_clip_F","loss_scale_C","lr_B","lr_F","warmup","seed","bw_bn","val_acc","best_epoch"
"FashionMNIST_classification_CCL","FashionMNIST","CCL","","2024-05-01T23:02:35.000Z","failed","19","0","elu","elu","256","zero","100","0","1","1","0.5","1","1","100","0","0","",""
"FashionMNIST_classification_CCL","FashionMNIST","CCL","","2024-05-01T23:01:23.000Z","failed","19","0","elu","elu","256","zero","100","0","1","1","0.5","2","2","100","0","0","",""
"FashionMNIST_classification_CCL","FashionMNIST","CCL","","2024-05-01T23:01:38.000Z","failed","19","0","elu","elu","256","zero","100","0","1","1","0.5","0.5","0.5","100","1","0","",""
"FashionMNIST_classification_CCL","FashionMNIST","CCL","","2024-05-01T23:01:11.000Z","failed","16","0","elu","elu","256","zero","100","0","1","1","0.5","1","1","100","0","0","",""
"FashionMNIST_classification_CCL","FashionMNIST","CCL","","2024-05-01T23:03:20.000Z","failed","18","0","elu","elu","256","zero","100","0","1","1","0.5","0.5","0.5","100","3","0","",""
"FashionMNIST_classification_CCL","FashionMNIST","CCL","","2024-05-01T23:02:06.000Z","failed","17","0","elu","elu","256","zero","100","0","1","1","0.5","1","1","100","1","0","",""
"FashionMNIST_classification_CCL","FashionMNIST","CCL","","2024-05-01T23:02:12.000Z","failed","20","0","elu","elu","256","zero","100","0","0.5","1","0.5","0.5","0.5","100","0","0","",""
"FashionMNIST_classification_CCL","FashionMNIST","CCL","","2024-05-01T23:02:42.000Z","failed","20","0","elu","elu","256","zero","100","0","0.5","1","0.5","1","1","100","0","0","",""
"FashionMNIST_classification_CCL","FashionMNIST","CCL","","2024-05-01T23:01:26.000Z","failed","19","0","elu","elu","256","zero","100","0","0.5","1","0.5","1","1","100","0","0","",""
"FashionMNIST_classification_CCL","FashionMNIST","CCL","","2024-05-01T23:02:14.000Z","failed","21","0","elu","elu","256","zero","100","0","0.5","1","0.5","1.5","1.5","100","0","0","",""
"MNIST_classification_CCL","MNIST","CCL","","2024-05-01T22:59:46.000Z","crashed","3","0","elu","elu","256","zero","100","0","0.5","1","0.5","1.5","1.5","100","0","2","",""
"FashionMNIST_classification_CCL","FashionMNIST","CCL","","2024-05-01T23:00:57.000Z","failed","22","0","elu","elu","256","zero","100","0","0.5","1","0.5","0.5","0.5","100","0","0","",""
"CIFAR10_classification_CCL","CIFAR10","CCL","","2024-05-01T17:44:38.000Z","crashed","330","0","elu","elu","256","zero","100","0","1","1","0.5","0.3","0.3","100","4","2","0.4222",""
"CIFAR10_classification_CCL","CIFAR10","CCL","","2024-05-01T23:45:22.000Z","crashed","10111","0","elu","elu","256","zero","100","0","1","1","0.5","0.03","0.03","100","4","1","0.2966",""
"FashionMNIST_classification_CCL","FashionMNIST","CCL","","2024-05-01T23:01:50.000Z","crashed","2","0","elu","elu","256","zero","100","0","1","1","0.5","1.5","1.5","100","1","0","",""
"FashionMNIST_classification_CCL","FashionMNIST","CCL","","2024-05-01T23:03:36.000Z","failed","20","0","elu","elu","256","zero","100","0","0.5","1","0.5","1","1","100","1","0","",""
"CIFAR10_classification_CCL","CIFAR10","CCL","","2024-05-01T15:15:11.000Z","crashed","322","0","elu","elu","256","zero","100","0","1","1","0.5","0.5","0.5","100","0","2","0.3918",""
"CIFAR10_classification_CCL","CIFAR10","CCL","","2024-05-01T23:02:46.000Z","crashed","11581","0","elu","elu","256","zero","100","0","1","1","0.5","1","1","100","4","2","0.246",""
