"Name","test accuracy","valid accuracy","State","Runtime","activation_function","agent","algorithm","batch_size","dataset","epochs","forward_last_activation","learning_rate","loss_feedback","seed","sparse_ratio","std_backward","stepsize","version","test loss","train accuracy"
"CIFAR10_DTP_linear_L-DRL","0.4241","0.4241","finished","1734","","false","DTP","256","CIFAR10","100","linear","0.2","L-DRL","3","-1","0.01","0.04","3","1.70274019241333","0.45844"
"CIFAR10_BP","0.4718","0.4718","finished","257","tanh","false","BP","256","CIFAR10","100","linear","0.002","DTP","1","-1","0.01","0.01","","1.5709593296051023","0.58232"
"CIFAR10_BP","0.4995","0.4995","finished","221","tanh","false","BP","256","CIFAR10","100","linear","0.08","DTP","2","-1","0.01","0.01","","2.38615083694458","1"
"MNIST_BP","0.981","0.981","finished","269","tanh","false","BP","256","MNIST","100","linear","0.2","DTP","5","-1","0.01","0.04","","0.08263316750526428","1"
"MNIST_BP","0.9807","0.9807","finished","270","tanh","false","BP","256","MNIST","100","linear","0.2","DTP","3","-1","0.01","0.04","","0.08009892702102661","1"
"FashionMNIST_DTP_linear_DRL","0.8322","0.8322","finished","4783","","false","DTP","256","FashionMNIST","100","linear","4","DRL","1","-1","0.01","0.008","","0.4627346098423004","0.8516166666666667"
"CIFAR100_BP","0.1898","0.1898","finished","171","tanh","false","BP","256","CIFAR100","100","linear","0.001","DTP","2","-1","0.01","0.01","","3.625818967819214","0.23226"
"CIFAR10_BP","0.4987","0.4987","finished","179","tanh","false","BP","256","CIFAR10","100","linear","0.1","DTP","3","-1","0.01","0.01","","2.4420762062072754","1"
"CIFAR10_BP","0.4762","0.4762","finished","254","tanh","false","BP","256","CIFAR10","100","linear","0.01","DTP","1","-1","0.01","0.01","","1.9657270908355713","0.9737"
"FashionMNIST_BP","0.8876","0.8876","finished","189","tanh","false","BP","256","FashionMNIST","100","linear","0.02","DTP","1","-1","0.01","0.01","","0.3845479488372803","0.9791666666666666"
"FashionMNIST_DTP_linear_L-DRL","0.8325","0.8325","finished","5034","","false","DTP","256","FashionMNIST","100","linear","2","L-DRL","5","-1","0.01","0.02","","0.4667273461818695","0.8551"
"MNIST_FWDTP-BN_linear-BN","0.9736","0.9736","finished","7972","","false","FWDTP-BN","256","MNIST","100","linear-BN","0.1","DTP","3","-1","0.01","0.04","","0.38162973523139954","0.9955833333333334"
"FashionMNIST_BP","0.8866","0.8866","finished","189","tanh","false","BP","256","FashionMNIST","100","linear","0.01","DTP","3","-1","0.01","0.01","","0.3324859142303467","0.9524"
"FashionMNIST_BP","0.8836","0.8836","finished","191","tanh","false","BP","256","FashionMNIST","100","linear","0.01","DTP","4","-1","0.01","0.01","","0.3420983552932739","0.9466833333333332"
